series,hop1_prob,hop1_ci_lo,hop1_ci_hi,hop1_succ,hop1_tested,hop1_n_evals,hop2_prob,hop2_ci_lo,hop2_ci_hi,hop2_succ,hop2_tested,hop2_n_evals,hop3_prob,hop3_ci_lo,hop3_ci_hi,hop3_succ,hop3_tested,hop3_n_evals,hop4_prob,hop4_ci_lo,hop4_ci_hi,hop4_succ,hop4_tested,hop4_n_evals,hop5_prob,hop5_ci_lo,hop5_ci_hi,hop5_succ,hop5_tested,hop5_n_evals,avg_prob,avg_ci_lo,avg_ci_hi,avg_succ,avg_tested
"""defgem""",0.0083,0.0015,0.0457,1,120,4,0.0167,0.0046,0.0587,2,120,4,0.0083,0.0015,0.0457,1,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0067,0.0026,0.0170,4,600
"""taskgem""",0.6750,0.5869,0.7522,81,120,4,0.4083,0.3246,0.4978,49,120,4,0.5167,0.4281,0.6042,62,120,4,0.4333,0.3481,0.5227,52,120,4,0.3333,0.2553,0.4217,40,120,4,0.4733,0.4337,0.5133,284,600
"""socialgem""",0.5917,0.5022,0.6754,71,120,4,0.2667,0.1957,0.3521,32,120,4,0.3167,0.2402,0.4045,38,120,4,0.3417,0.2629,0.4303,41,120,4,0.4500,0.3639,0.5392,54,120,4,0.3933,0.3550,0.4330,236,600
"""personalitygem""",0.7833,0.7015,0.8476,94,120,4,0.5250,0.4363,0.6122,63,120,4,0.5667,0.4773,0.6519,68,120,4,0.5917,0.5022,0.6754,71,120,4,0.7167,0.6303,0.7896,86,120,4,0.6367,0.5974,0.6742,382,600
"""emptygem""",0.9667,0.9174,0.9870,116,120,4,0.8917,0.8234,0.9356,107,120,4,0.8750,0.8040,0.9228,105,120,4,0.8500,0.7753,0.9030,102,120,4,0.9000,0.8333,0.9419,108,120,4,0.8967,0.8697,0.9186,538,600
"""contextgem""",0.8667,0.7944,0.9162,104,120,4,0.6917,0.6042,0.7673,83,120,4,0.6333,0.5302,0.7255,57,90,4,0.4167,0.3324,0.5061,50,120,4,0.4889,0.3882,0.5905,44,90,4,0.6259,0.5844,0.6657,338,540
"""basegem""",0.8083,0.7288,0.8688,97,120,4,0.6167,0.5273,0.6988,74,120,4,0.6833,0.5955,0.7598,82,120,4,0.7083,0.6216,0.7822,85,120,4,0.6833,0.5955,0.7598,82,120,4,0.7000,0.6622,0.7353,420,600
"""basehai""",0.6083,0.5189,0.6910,73,120,4,0.4917,0.4039,0.5800,59,120,4,0.5000,0.4119,0.5881,60,120,4,0.4333,0.3481,0.5227,52,120,4,0.5750,0.4856,0.6598,69,120,4,0.5217,0.4817,0.5614,313,600
"""defhai""",0.0083,0.0015,0.0457,1,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0017,0.0003,0.0094,1,600
"""contexthai""",0.8750,0.8040,0.9228,105,120,4,0.6917,0.6042,0.7673,83,120,4,0.6500,0.5612,0.7295,78,120,4,0.6917,0.6042,0.7673,83,120,4,0.5083,0.4200,0.5961,61,120,4,0.6833,0.6450,0.7193,410,600
"""emptyhai""",0.7833,0.7015,0.8476,94,120,4,0.6949,0.6068,0.7708,82,118,4,0.6102,0.5200,0.6934,72,118,4,0.5678,0.4777,0.6536,67,118,4,0.6410,0.5509,0.7222,75,117,4,0.6599,0.6208,0.6970,390,591
"""personalityhai""",0.6667,0.5783,0.7447,80,120,4,0.4701,0.3820,0.5600,55,117,4,0.4286,0.3433,0.5183,51,119,4,0.4790,0.3913,0.5680,57,119,4,0.4417,0.3560,0.5310,53,120,4,0.4975,0.4574,0.5375,296,595
"""socialhai""",0.4417,0.3560,0.5310,53,120,4,0.3250,0.2478,0.4131,39,120,4,0.3583,0.2782,0.4473,43,120,4,0.2750,0.2030,0.3609,33,120,4,0.2941,0.2197,0.3814,35,119,4,0.3389,0.3021,0.3777,203,599
"""taskhai""",0.5833,0.4939,0.6676,70,120,4,0.2250,0.1595,0.3076,27,120,4,0.2583,0.1884,0.3433,31,120,4,0.1417,0.0904,0.2152,17,120,4,0.1750,0.1174,0.2528,21,120,4,0.2767,0.2424,0.3138,166,600
